policy,scheduled_jobs,skipped_jobs,total_actual_energy_kwh,total_actual_emissions_kg,total_predicted_emissions_kg,avg_wait_h,median_wait_h,p95_wait_h,avg_slowdown,max_nodes_used,max_processors_used,week_index,week_start,input_jobs,fcfs_emissions_kg,fcfs_avg_wait_h,emissions_delta_vs_fcfs_kg,emissions_reduction_vs_fcfs_pct,avg_wait_delta_vs_fcfs_h
carbon_aware,15996.0,0.0,44382.85561039048,14797.766711569215,9133.61907675332,12.145402479091995,13.03138888888889,21.373055555555556,23.262863294078894,12423.0,12423.0,6,2020-06-15T00:00:00+00:00,15996.0,15572.067513991547,0.0,-774.3008024223327,4.972369929212169,12.145402479091995
fcfs,6015.0,0.0,70636.63403834355,24938.3402837197,15232.98790769751,0.0,0.0,0.0,1.0,2128.0,2128.0,7,2020-06-22T00:00:00+00:00,6015.0,24938.3402837197,0.0,0.0,0.0,0.0
random,6015.0,0.0,70636.63403834356,24815.52223044288,15120.838785785865,11.675477787013946,11.615277777777777,22.62488888888889,17.14920153409709,1016.0,1016.0,7,2020-06-22T00:00:00+00:00,6015.0,24938.3402837197,0.0,-122.81805327682014,0.49248687715195905,11.675477787013946
carbon_aware,6015.0,0.0,70636.63403834355,23805.496902277704,14355.90887222919,11.666785582340445,11.50388888888889,22.095555555555556,17.089592472348738,4632.0,4632.0,7,2020-06-22T00:00:00+00:00,6015.0,24938.3402837197,0.0,-1132.843381441995,4.542577286835485,11.666785582340445
fcfs,5537.0,0.0,51394.89536128115,18489.41016649041,14692.877470665186,0.0,0.0,0.0,1.0,1115.0,1115.0,8,2020-06-29T00:00:00+00:00,5537.0,18489.41016649041,0.0,0.0,0.0,0.0
random,5537.0,0.0,51394.89536128116,18194.02954358256,14317.050832444384,11.623163114803443,11.569444444444445,22.695555555555554,17.948885317345756,742.0,742.0,8,2020-06-29T00:00:00+00:00,5537.0,18489.41016649041,0.0,-295.3806229078473,1.5975665002185158,11.623163114803443
carbon_aware,5537.0,0.0,51394.89536128116,17452.258977960595,13330.266529454577,11.463862149579597,10.87111111111111,19.721777777777778,18.17944531719383,4474.0,4474.0,8,2020-06-29T00:00:00+00:00,5537.0,18489.41016649041,0.0,-1037.1511885298132,5.609433611946754,11.463862149579597
fcfs,6360.0,0.0,23463.149571454323,8531.402574265385,5936.101014542043,0.0,0.0,0.0,1.0,1207.0,1207.0,9,2020-07-06T00:00:00+00:00,6360.0,8531.402574265385,0.0,0.0,0.0,0.0
random,6360.0,0.0,23463.14957145432,8404.615929001173,5767.089774547949,11.626650768693223,11.63375,22.673180555555554,20.975342978681887,586.0,586.0,9,2020-07-06T00:00:00+00:00,6360.0,8531.402574265385,0.0,-126.78664526421198,1.486117249309727,11.626650768693223
carbon_aware,6360.0,0.0,23463.14957145432,8003.699113605163,5321.052909879077,13.100513364779873,13.351666666666667,23.208944444444445,23.58778434326428,4145.0,4145.0,9,2020-07-06T00:00:00+00:00,6360.0,8531.402574265385,0.0,-527.7034606602219,6.185424448871011,13.100513364779873
